Date	Annee	Mois	jour	Qls	Qm3s
19660101	1966	1	1	164000	164.00
19660102	1966	1	2	162000	162.00
19660103	1966	1	3	160000	160.00
19660104	1966	1	4	158000	158.00
19660105	1966	1	5	153000	153.00
19660106	1966	1	6	151000	151.00
19660107	1966	1	7	147000	147.00
19660108	1966	1	8	142000	142.00
19660109	1966	1	9	133000	133.00
19660110	1966	1	10	126000	126.00
19660111	1966	1	11	118000	118.00
19660112	1966	1	12	109000	109.00
19660113	1966	1	13	97500	97.50
19660114	1966	1	14	85500	85.50
19660115	1966	1	15	81000	81.00
19660116	1966	1	16	76500	76.50
19660117	1966	1	17	73000	73.00
19660118	1966	1	18	68000	68.00
19660119	1966	1	19	64500	64.50
19660120	1966	1	20	61000	61.00
19660121	1966	1	21	55500	55.50
19660122	1966	1	22	63500	63.50
19660123	1966	1	23	70000	70.00
19660124	1966	1	24	85000	85.00
19660125	1966	1	25	122000	122.00
19660126	1966	1	26	133000	133.00
19660127	1966	1	27	135000	135.00
19660128	1966	1	28	144000	144.00
19660129	1966	1	29	135000	135.00
19660130	1966	1	30	102000	102.00
19660131	1966	1	31	84000	84.00
19660201	1966	2	1	82000	82.00
19660202	1966	2	2	82000	82.00
19660203	1966	2	3	85500	85.50
19660204	1966	2	4	85000	85.00
19660205	1966	2	5	83000	83.00
19660206	1966	2	6	82000	82.00
19660207	1966	2	7	80000	80.00
19660208	1966	2	8	77500	77.50
19660209	1966	2	9	75500	75.50
19660210	1966	2	10	78500	78.50
19660211	1966	2	11	89000	89.00
19660212	1966	2	12	97500	97.50
19660213	1966	2	13	111000	111.00
19660214	1966	2	14	129000	129.00
19660215	1966	2	15	135000	135.00
19660216	1966	2	16	140000	140.00
19660217	1966	2	17	138000	138.00
19660218	1966	2	18	133000	133.00
19660219	1966	2	19	131000	131.00
19660220	1966	2	20	126000	126.00
19660221	1966	2	21	122000	122.00
19660222	1966	2	22	113000	113.00
19660223	1966	2	23	104000	104.00
19660224	1966	2	24	95000	95.00
19660225	1966	2	25	77500	77.50
19660226	1966	2	26	58000	58.00
19660227	1966	2	27	45300	45.30
19660228	1966	2	28	58000	58.00
19660301	1966	3	1	73000	73.00
19660302	1966	3	2	89000	89.00
19660303	1966	3	3	86500	86.50
19660304	1966	3	4	77500	77.50
19660305	1966	3	5	60000	60.00
19660306	1966	3	6	44300	44.30
19660307	1966	3	7	38000	38.00
19660308	1966	3	8	34100	34.10
19660309	1966	3	9	33300	33.30
19660310	1966	3	10	31600	31.60
19660311	1966	3	11	30000	30.00
19660312	1966	3	12	29600	29.60
19660313	1966	3	13	29600	29.60
19660314	1966	3	14	28900	28.90
19660315	1966	3	15	27300	27.30
19660316	1966	3	16	26600	26.60
19660317	1966	3	17	26200	26.20
19660318	1966	3	18	24700	24.70
19660319	1966	3	19	24400	24.40
19660320	1966	3	20	23300	23.30
19660321	1966	3	21	23700	23.70
19660322	1966	3	22	28900	28.90
19660323	1966	3	23	30400	30.40
19660324	1966	3	24	30400	30.40
19660325	1966	3	25	30000	30.00
19660326	1966	3	26	30400	30.40
19660327	1966	3	27	30400	30.40
19660328	1966	3	28	32400	32.40
19660329	1966	3	29	34500	34.50
19660330	1966	3	30	38000	38.00
19660331	1966	3	31	35400	35.40
19660401	1966	4	1	32000	32.00
19660402	1966	4	2	28500	28.50
19660403	1966	4	3	26200	26.20
19660404	1966	4	4	24700	24.70
19660405	1966	4	5	23700	23.70
19660406	1966	4	6	22300	22.30
19660407	1966	4	7	21300	21.30
19660408	1966	4	8	20000	20.00
19660409	1966	4	9	19300	19.30
19660410	1966	4	10	19700	19.70
19660411	1966	4	11	19700	19.70
19660412	1966	4	12	20000	20.00
19660413	1966	4	13	19700	19.70
19660414	1966	4	14	19000	19.00
19660415	1966	4	15	19300	19.30
19660416	1966	4	16	19700	19.70
19660417	1966	4	17	22000	22.00
19660418	1966	4	18	26600	26.60
19660419	1966	4	19	26200	26.20
19660420	1966	4	20	27300	27.30
19660421	1966	4	21	30800	30.80
19660422	1966	4	22	32400	32.40
19660423	1966	4	23	32900	32.90
19660424	1966	4	24	32400	32.40
19660425	1966	4	25	28500	28.50
19660426	1966	4	26	32900	32.90
19660427	1966	4	27	36700	36.70
19660428	1966	4	28	37600	37.60
19660429	1966	4	29	38900	38.90
19660430	1966	4	30	39800	39.80
19660501	1966	5	1	39800	39.80
19660502	1966	5	2	39800	39.80
19660503	1966	5	3	39300	39.30
19660504	1966	5	4	39300	39.30
19660505	1966	5	5	39800	39.80
19660506	1966	5	6	40300	40.30
19660507	1966	5	7	38900	38.90
19660508	1966	5	8	38400	38.40
19660509	1966	5	9	37600	37.60
19660510	1966	5	10	36200	36.20
19660511	1966	5	11	38400	38.40
19660512	1966	5	12	41600	41.60
19660513	1966	5	13	38400	38.40
19660514	1966	5	14	35800	35.80
19660515	1966	5	15	33300	33.30
19660516	1966	5	16	31600	31.60
19660517	1966	5	17	30400	30.40
19660518	1966	5	18	29200	29.20
19660519	1966	5	19	30000	30.00
19660520	1966	5	20	32900	32.90
19660521	1966	5	21	33700	33.70
19660522	1966	5	22	33700	33.70
19660523	1966	5	23	34100	34.10
19660524	1966	5	24	34100	34.10
19660525	1966	5	25	33700	33.70
