Date	Annee	Mois	Jour	Qls	Qm3s
19960101	1996	1	1	257000	257
19960102	1996	1	2	228000	228
19960103	1996	1	3	219000	219
19960104	1996	1	4	235000	235
19960105	1996	1	5	230000	230
19960106	1996	1	6	205000	205
19960107	1996	1	7	243000	243
19960108	1996	1	8	255000	255
19960109	1996	1	9	257000	257
19960110	1996	1	10	255000	255
19960111	1996	1	11	282000	282
19960112	1996	1	12	320000	320
19960113	1996	1	13	347000	347
19960114	1996	1	14	303000	303
19960115	1996	1	15	271000	271
19960116	1996	1	16	246000	246
19960117	1996	1	17	235000	235
19960118	1996	1	18	222000	222
19960119	1996	1	19	191000	191
19960120	1996	1	20	200000	200
19960121	1996	1	21	190000	190
19960122	1996	1	22	286000	286
19960123	1996	1	23	187000	187
19960124	1996	1	24	189000	189
19960125	1996	1	25	207000	207
19960126	1996	1	26	190000	190
19960127	1996	1	27	183000	183
19960128	1996	1	28	174000	174
19960129	1996	1	29	161000	161
19960130	1996	1	30	154000	154
19960131	1996	1	31	157000	157
19960201	1996	2	1	161000	161
19960202	1996	2	2	157000	157
19960203	1996	2	3	153000	153
19960204	1996	2	4	169000	169
19960205	1996	2	5	205000	205
19960206	1996	2	6	184000	184
19960207	1996	2	7	174000	174
19960208	1996	2	8	163000	163
19960209	1996	2	9	168000	168
19960210	1996	2	10	170000	170
19960211	1996	2	11	167000	167
19960212	1996	2	12	187000	187
19960213	1996	2	13	294000	294
19960214	1996	2	14	385000	385
19960215	1996	2	15	449000	449
19960216	1996	2	16	440000	440
19960217	1996	2	17	402000	402
19960218	1996	2	18	364000	364
19960219	1996	2	19	357000	357
19960220	1996	2	20	402000	402
19960221	1996	2	21	404000	404
19960222	1996	2	22	382000	382
19960223	1996	2	23	357000	357
19960224	1996	2	24	337000	337
19960225	1996	2	25	349000	349
19960226	1996	2	26	356000	356
19960227	1996	2	27	304000	304
19960228	1996	2	28	301000	301
19960229	1996	2	29	293000	293
19960301	1996	3	1	299000	299
19960302	1996	3	2	290000	290
19960303	1996	3	3	280000	280
19960304	1996	3	4	253000	253
19960305	1996	3	5	239000	239
19960306	1996	3	6	231000	231
19960307	1996	3	7	234000	234
19960308	1996	3	8	219000	219
19960309	1996	3	9	209000	209
19960310	1996	3	10	199000	199
19960311	1996	3	11	195000	195
19960312	1996	3	12	203000	203
19960313	1996	3	13	194000	194
19960314	1996	3	14	165000	165
19960315	1996	3	15	173000	173
19960316	1996	3	16	165000	165
19960317	1996	3	17	168000	168
19960318	1996	3	18	163000	163
19960319	1996	3	19	148000	148
19960320	1996	3	20	145000	145
19960321	1996	3	21	157000	157
19960322	1996	3	22	142000	142
19960323	1996	3	23	145000	145
19960324	1996	3	24	140000	140
19960325	1996	3	25	141000	141
19960326	1996	3	26	136000	136
19960327	1996	3	27	132000	132
19960328	1996	3	28	127000	127
19960329	1996	3	29	125000	125
19960330	1996	3	30	103000	103
19960331	1996	3	31	113000	113
19960401	1996	4	1	117000	117
19960402	1996	4	2	128000	128
19960403	1996	4	3	115000	115
19960404	1996	4	4	114000	114
19960405	1996	4	5	117000	117
19960406	1996	4	6	116000	116
19960407	1996	4	7	114000	114
19960408	1996	4	8	114000	114
19960409	1996	4	9	115000	115
19960410	1996	4	10	115000	115
19960411	1996	4	11	107000	107
19960412	1996	4	12	107000	107
19960413	1996	4	13	115000	115
19960414	1996	4	14	107000	107
19960415	1996	4	15	109000	109
19960416	1996	4	16	102000	102
19960417	1996	4	17	101000	101
19960418	1996	4	18	100000	100
19960419	1996	4	19	106000	106
19960420	1996	4	20	102000	102
19960421	1996	4	21	97100	97.1
19960422	1996	4	22	98100	98.1
19960423	1996	4	23	95100	95.1
19960424	1996	4	24	96400	96.4
19960425	1996	4	25	93400	93.4
19960426	1996	4	26	93500	93.5
19960427	1996	4	27	88500	88.5
19960428	1996	4	28	89700	89.7
19960429	1996	4	29	91100	91.1
19960430	1996	4	30	87700	87.7
19960501	1996	5	1	87400	87.4
19960502	1996	5	2	90000	90
19960503	1996	5	3	87400	87.4
19960504	1996	5	4	85600	85.6
19960505	1996	5	5	86200	86.2
19960506	1996	5	6	80900	80.9
19960507	1996	5	7	83600	83.6
19960508	1996	5	8	86400	86.4
19960509	1996	5	9	82400	82.4
19960510	1996	5	10	80600	80.6
19960511	1996	5	11	80000	80
19960512	1996	5	12	80900	80.9
19960513	1996	5	13	83000	83
19960514	1996	5	14	82700	82.7
19960515	1996	5	15	83200	83.2
19960516	1996	5	16	84400	84.4
19960517	1996	5	17	91100	91.1
19960518	1996	5	18	105000	105
19960519	1996	5	19	104000	104
19960520	1996	5	20	102000	102
19960521	1996	5	21	143000	143
19960522	1996	5	22	136000	136
19960523	1996	5	23	124000	124
19960524	1996	5	24	104000	104
19960525	1996	5	25	106000	106
19960526	1996	5	26	103000	103
19960527	1996	5	27	105000	105
19960528	1996	5	28	110000	110
19960529	1996	5	29	121000	121
19960530	1996	5	30	110000	110
19960531	1996	5	31	106000	106
19960601	1996	6	1	102000	102
19960602	1996	6	2	93700	93.7
19960603	1996	6	3	97500	97.5
19960604	1996	6	4	96000	96
19960605	1996	6	5	94800	94.8
19960606	1996	6	6	86400	86.4
19960607	1996	6	7	81000	81
19960608	1996	6	8	81000	81
19960609	1996	6	9	85900	85.9
19960610	1996	6	10	81300	81.3
19960611	1996	6	11	75400	75.4
19960612	1996	6	12	79200	79.2
19960613	1996	6	13	76600	76.6
19960614	1996	6	14	72600	72.6
19960615	1996	6	15	67100	67.1
19960616	1996	6	16	69000	69
19960617	1996	6	17	65800	65.8
19960618	1996	6	18	61800	61.8
19960619	1996	6	19	65500	65.5
19960620	1996	6	20	62400	62.4
19960621	1996	6	21	58900	58.9
19960622	1996	6	22	54800	54.8
19960623	1996	6	23	58100	58.1
19960624	1996	6	24	57800	57.8
19960625	1996	6	25	59800	59.8
19960626	1996	6	26	57000	57
19960627	1996	6	27	54800	54.8
19960628	1996	6	28	49900	49.9
19960629	1996	6	29	55400	55.4
19960630	1996	6	30	55400	55.4
19960701	1996	7	1	55500	55.5
19960702	1996	7	2	56000	56
19960703	1996	7	3	54600	54.6
19960704	1996	7	4	57400	57.4
19960705	1996	7	5	90300	90.3
19960706	1996	7	6	76900	76.9
19960707	1996	7	7	84700	84.7
19960708	1996	7	8	85900	85.9
19960709	1996	7	9	78400	78.4
19960710	1996	7	10	71700	71.7
19960711	1996	7	11	75400	75.4
19960712	1996	7	12	76500	76.5
19960713	1996	7	13	72600	72.6
19960714	1996	7	14	68700	68.7
19960715	1996	7	15	79200	79.2
19960716	1996	7	16	57500	57.5
