Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19710120	1971	1	20	9.500000	8.000000	692.000000	2.000000	13.000000	32.000000	-1.000000	2.200000	0.160000	13.200000	-1.000000	-1.000000	-1.000000	1.500000	65.000000	296.000000	-1.000000	-1.000000	22.400000	7.800000	34.000000	108.000000	8.200000
19710218	1971	2	18	8.000000	7.600000	603.000000	8.500000	5.400000	81.000000	-1.000000	1.300000	0.300000	8.800000	-1.000000	-1.000000	-1.000000	1.100000	48.000000	281.000000	-1.000000	-1.000000	22.000000	4.500000	22.000000	97.000000	18.299999
19710318	1971	3	18	11.000000	7.800000	610.000000	5.800000	7.000000	22.000000	-1.000000	2.600000	1.600000	15.600000	-1.000000	-1.000000	-1.000000	1.800000	52.000000	261.000000	-1.000000	-1.000000	23.000000	5.200000	26.500000	97.000000	11.500000
19710421	1971	4	21	17.500000	7.600000	627.000000	3.200000	14.500000	32.000000	-1.000000	1.900000	3.200000	5.200000	-1.000000	-1.000000	-1.000000	1.600000	63.000000	348.000000	-1.000000	-1.000000	37.400002	6.300000	29.000000	81.500000	12.600000
19710513	1971	5	13	20.700001	7.400000	647.000000	0.900000	23.000000	34.000000	-1.000000	3.900000	0.030000	0.200000	-1.000000	-1.000000	-1.000000	2.300000	73.000000	281.000000	-1.000000	-1.000000	38.000000	6.200000	34.000000	81.500000	18.700001
19710622	1971	6	22	17.500000	7.400000	591.000000	1.300000	-1.000000	43.000000	-1.000000	2.600000	0.320000	7.900000	-1.000000	-1.000000	-1.000000	1.600000	49.000000	287.000000	-1.000000	-1.000000	18.000000	4.700000	23.000000	85.500000	11.100000
19710713	1971	7	13	26.000000	7.400000	638.000000	0.500000	-1.000000	18.000000	-1.000000	3.900000	0.030000	13.200000	-1.000000	-1.000000	-1.000000	0.300000	67.000000	274.000000	-1.000000	-1.000000	22.200001	5.400000	28.000000	98.199997	12.900000
19710819	1971	8	19	23.000000	7.500000	600.000000	1.500000	8.500000	15.000000	-1.000000	3.900000	0.800000	5.700000	-1.000000	-1.000000	-1.000000	1.200000	64.000000	272.000000	-1.000000	-1.000000	28.000000	6.000000	27.000000	79.199997	12.200000
19710921	1971	9	21	21.000000	7.500000	703.000000	1.300000	27.000000	17.000000	-1.000000	3.200000	0.050000	0.200000	-1.000000	-1.000000	-1.000000	4.900000	77.000000	304.000000	-1.000000	-1.000000	18.799999	7.500000	39.000000	92.099998	14.500000
19711020	1971	10	20	16.000000	7.500000	690.000000	1.000000	20.000000	29.000000	-1.000000	2.600000	0.030000	0.200000	-1.000000	-1.000000	-1.000000	4.000000	66.000000	296.000000	-1.000000	-1.000000	36.799999	6.500000	35.000000	95.599998	10.000000
