Date	Annee	Mois	Jour	MES	NO3
19950123	1995	1	23	84.7	30.4
19950225	1995	2	25	37.9	27.6
19950323	1995	3	23	81.8	26.4
19950424	1995	4	24	17.6	28.2
19950516	1995	5	16	14.9	26
19950617	1995	6	17	12.4	27.8
19950718	1995	7	18	8.2	21.7
19950819	1995	8	19	8	19.4
19950920	1995	9	20	8	19.3
19951022	1995	10	22	7.6	22
19951116	1995	11	16	4.7	26.5
19951213	1995	12	13	2.8	26.3
19960110	1996	1	10	23	28.8
19960215	1996	2	15	25	28
19960320	1996	3	20	8.5	29.6
19960415	1996	4	15	11.6	24.6
19960511	1996	5	11	15.3	19.5
19960609	1996	6	9	6.4	20.9
19960711	1996	7	11	12	17.8
19960812	1996	8	12	13.6	12.8
19960912	1996	9	12	11.1	15.6
19961015	1996	10	15	3.2	15.3
19961116	1996	11	16	37.3	21.3
19961215	1996	12	15	21.2	31.3
19970116	1997	1	16	5.6	32.4
19970219	1997	2	19	36.5	28.6
19970318	1997	3	18	10.3	30
19970419	1997	4	19	11.9	26
19970516	1997	5	16	9.8	21.8
19970612	1997	6	12	9.6	22.6
19970716	1997	7	16	15.4	22.1
19970810	1997	8	10	14	18.9
19970913	1997	9	13	9	16.6
19971012	1997	10	12	6.8	17.7
19971108	1997	11	8	5.2	19.7
19971209	1997	12	9	14	32.4
19980109	1998	1	9	120	31
19980201	1998	2	1	15.9	31.6
19980226	1998	2	26	4.9	31.5
19980320	1998	3	20	5.6	26.6
19980422	1998	4	22	87.5	22.7
19980518	1998	5	18	11	25.6
19980615	1998	6	15	12	21.2
19980706	1998	7	6	7.4	22.3
19980730	1998	7	30	6.8	21.6
19980830	1998	8	30	6.5	16.2
19980930	1998	9	30	8.2	15.5
19981103	1998	11	3	55.8	25.8
19981201	1998	12	1	8.3	27.4
19990102	1999	1	2	11.5	31.2
19990202	1999	2	2	54.3	25.3
19990301	1999	3	1	50.2	22.4
19990403	1999	4	3	20.4	24
19990429	1999	4	29	12.8	23.7
19990525	1999	5	25	20.3	24.5
19990623	1999	6	23	9.2	26.2
19990726	1999	7	26	12.5	20.7
19990829	1999	8	29	8.5	18.6
19990930	1999	9	30	13.6	18
19991026	1999	10	26	8.6	21.9
19991120	1999	11	20	5.6	25.8
19991227	1999	12	27	100	26.9
20000122	2000	1	22	11	27.7
20000207	2000	2	7	13.2	29.5
20000304	2000	3	4	34.2	24.1
20000330	2000	3	30	10	28.9
20000430	2000	4	30	23.1	24
20000529	2000	5	29	12	28
20000701	2000	7	1	13.1	27
20000805	2000	8	5	14.8	21.9
20000902	2000	9	2	10	22.4
20001008	2000	10	8	10	21.5
20001101	2000	11	1	9.4	25.6
20001201	2000	12	1	70.5	24.1
20001228	2000	12	28	12.5	29.4
20010128	2001	1	28	61	25.8
20010225	2001	2	25	6.9	34.4
20010327	2001	3	27	41.7	21.8
20010426	2001	4	26	23.4	20.3
20010602	2001	6	2	9	27.5
20010710	2001	7	10	24.1	23.4
20010808	2001	8	8	11.2	23.2
20010906	2001	9	6	5.5	24.4
20011005	2001	10	5	18.5	25.7
20011028	2001	10	28	18.4	24.9
20011124	2001	11	24	5.1	30.9
20011227	2001	12	27	3.4	33.2
20020126	2002	1	26	11.8	31.3
20020227	2002	2	27	52.3	24.7
20020320	2002	3	20	16	31.4
20020422	2002	4	22	7	30
20020521	2002	5	21	9.1	27
20020620	2002	6	20	9.1	26
20020726	2002	7	26	6.9	24
20020822	2002	8	22	7.7	20.7
20020922	2002	9	22	4.7	20.2
20021013	2002	10	13	2.3	20.9
20021118	2002	11	18	32	28.2
20021215	2002	12	15	5.6	30.2
20030116	2003	1	16	17.7	28.9
20030207	2003	2	7	105	25.9
20030228	2003	2	28	5.3	31.8
20030330	2003	3	30	5.8	31.3
20030425	2003	4	25	5.1	28.9
20030525	2003	5	25	10.1	26.9
20030620	2003	6	20	8.5	25
20030720	2003	7	20	7.4	20.4
20030822	2003	8	22	6.9	17
20030918	2003	9	18	5.4	18.8
20031022	2003	10	22	2.7	22.3
20031123	2003	11	23	2	25.4
20031220	2003	12	20	3.1	35.7
20040112	2004	1	12	19.6	32.5
20040211	2004	2	11	15.6	28.9
20040307	2004	3	7	3.1	30.7
20040410	2004	4	10	5.7	28.7
20040514	2004	5	14	21	24.3
20040612	2004	6	12	11.6	23.5
20040702	2004	7	2	7.8	23.6
20040729	2004	7	29	7.4	20.7
20040902	2004	9	2	9.4	18.3
20041002	2004	10	2	5.7	19.9
20041104	2004	11	4	5.1	19.2
20041216	2004	12	16	1.8	26.5
