Date	Annee	Mois	jour	Cmes(mg/l)	Cnitrate(mg/l)	Q(m3/s)
23/01/1995	1995	1	23	84.7	30.4	602
25/02/1995	1995	2	25	37.9	27.6	629
23/03/1995	1995	3	23	81.8	26.4	789
24/04/1995	1995	4	24	17.6	28.2	391
16/05/1995	1995	5	16	14.9	26.0	354
17/06/1995	1995	6	17	12.4	27.8	160
18/07/1995	1995	7	18	8.2		21.7	116
19/08/1995	1995	8	19	8.0		19.4	87
20/09/1995	1995	9	20	8.0		19.3	132
22/10/1995	1995	10	22	7.6		22.0	125
16/11/1995	1995	11	16	4.7		26.5	111
13/12/1995	1995	12	13	2.8		26.3	106
10/01/1996	1996	1	10	23.0	28.8	255
15/02/1996	1996	2	15	25.0	28		449
20/03/1996	1996	3	20	8.5		29.6	145
15/04/1996	1996	4	15	11.6	24.6	109
11/05/1996	1996	5	11	15.3	19.5	80
09/06/1996	1996	6	9	6.4		20.9	85.9
11/07/1996	1996	7	11	12		17.8	75.4
12/08/1996	1996	8	12	13.6	12.8	79.2
12/09/1996	1996	9	12	11.1	15.6	64.1
15/10/1996	1996	10	15	3.2		15.3	87.9
16/11/1996	1996	11	16	37.3	21.3	273
15/12/1996	1996	12	15	21.2	31.3	396
16/01/1997	1997	1	16	5.6		32.4	136
19/02/1997	1997	2	19	36.5	28.6	301
18/03/1997	1997	3	18	10.3	30		210
19/04/1997	1997	4	19	11.9	26		105
16/05/1997	1997	5	16	9.8		21.8	146
12/06/1997	1997	6	12	9.6		22.6	79
16/07/1997	1997	7	16	15.4	22.1	120
10/08/1997	1997	8	10	14		18.9	102
13/09/1997	1997	9	13	9		16.6	115
12/10/1997	1997	10	12	6.8		17.7	127
08/11/1997	1997	11	8	5.2		19.7	126
09/12/1997	1997	12	9	14		32.4	226
09/01/1998	1998	1	9	120		31		493
01/02/1998	1998	2	1	15.9	31.6	336
26/02/1998	1998	2	26	4.9		31.5	151
20/03/1998	1998	3	20	5.6		26.6	151
22/04/1998	1998	4	22	87.5	22.7	534
18/05/1998	1998	5	18	11		25.6	229
15/06/1998	1998	6	15	12		21.2	126
06/07/1998	1998	7	6	7.4		22.3	77.7
30/07/1998	1998	7	30	6.8		21.6	70.7
30/08/1998	1998	8	30	6.5		16.2	68.4
30/09/1998	1998	9	30	8.2		15.5	110
03/11/1998	1998	11	3	55.8	25.8	381
01/12/1998	1998	12	1	8.3		27.4	259
02/01/1999	1999	1	2	11.5	31.2	206
02/02/1999	1999	2	2	54.3	25.3	416
01/03/1999	1999	3	1	50.2	22.4	632
03/04/1999	1999	4	3	20.4	24		353
29/04/1999	1999	4	29	12.8	23.7	299
25/05/1999	1999	5	25	20.3	24.5	227
23/06/1999	1999	6	23	9.2		26.2	104
26/07/1999	1999	7	26	12.5	20.7	86.9
29/08/1999	1999	8	29	8.5		18.6	82.2
30/09/1999	1999	9	30	13.6	18		151
26/10/1999	1999	10	26	8.6		21.9	141
20/11/1999	1999	11	20	5.6		25.8	113
27/12/1999	1999	12	27	100		26.9	712
22/01/2000	2000	1	22	11		27.7	399
07/02/2000	2000	2	7	13.2	29.5	303
04/03/2000	2000	3	4	34.2	24.1	627
30/03/2000	2000	3	30	10		28.9	247
